"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800"
"15","CMCL.AO","108159","108159","papyrus","codex","701","800"
"16","CMCL.AP","61979","3138","papyrus","codex","276","350"
"18","CMCL.AS","108136","108136","papyrus","codex","350","450"
"23","CMCL.AZ","107785","107785","papyrus","codex","601","700"
"24","CMCL.BA","107968","107968","papyrus","codex","401","500"
"25","CMCL.BB","107969","107969","papyrus","codex","301","400"
"26","CMCL.BC","107864","107864","parchment","codex","376","425"
"32","CMCL.BI","108860","108860","papyrus","codex","301","400"
"33","DISH.AA","107758","107758","papyrus","codex","301","400"
"34","DISH.AB","107761","107761","parchment","codex","301","500"
"35","DISH.AC","108535","108535","parchment","codex","301","400"
"36","DISH.AD","108536","108536","papyrus","codex","351","400"
"37","DISH.AE","107759","107759","parchment","codex","375","450"
"38","DISH.AF","108537","108537","papyrus","codex","301","500"
"39","DISH.AG","108176","108176","parchment","codex","375","450"
"40","DISH.AH","108542","108542","papyrus","codex","375","450"
"41","DISH.AI","108121","108121","papyrus","codex","351","400"
"42","DISH.AK","107771","107771","papyrus","codex","341","400"
"43","DISH.AL","108548","108548","parchment","codex","301","500"
"44","DISH.AM","107756; 59114","107756; 209","parchment","codex","401","500"
"45","GIOV.AA","108175 ","108175","papyrus","codex","651","750"
"46","GIOV.AB","108413","108413","papyrus","codex","651","750"
"47","GIOV.AC","108414","108414","papyrus","codex","651","750"
"48","GIOV.AD","108415","null","papyrus","codex","651","750"
"49","GIOV.AE","108416","null","papyrus","codex","651","750"
"50","GIOV.AF","108362","null","papyrus","codex","651","750"
"51","GIOV.AG","108417","null","papyrus","codex","651","750"
"52","GIOV.AH","108418","null","papyrus","codex","651","750"
"53","GIOV.AI","108419","null","papyrus","codex","651","750"
"54","GIOV.AJ","108363","null","papyrus","codex","651","750"
"55","GIOV.AK","108366","null","papyrus","codex","651","750"
"56","GIOV.AL","108420","108420","papyrus","codex","651","750"
"57","GIOV.AM","108393","108393","papyrus","codex","651","750"
"58","GIOV.AN","108421","108421","papyrus","codex","651","750"
"61","GIOV.AQ","108423","108423","papyrus","codex","651","750"
"62","GIOV.AR","108424","108424","papyrus","codex","651","750"
"64","IERE.AA","107868","107868","parchment","codex","501","600"
"65","IERE.AB","107869","107869","parchment","codex","551","600"
"66","IERE.AC","107870","107870","parchment","codex","551","600"
"67","IERE.AD","107871","107871","parchment","codex","551","600"
"68","IERE.AE","107872","107872","parchment","codex","551","600"
"173","MANI.AB","108112","108112","papyrus","codex","301","425"
"174","MANI.AC","108137","108137","papyrus","codex","301","425"
"175","MANI.AD","107977","107977","papyrus","codex","301","425"
"211","MICH.AK","61773","2925","parchment","codex","601","800"
"273","MONB.AM","108123","108123","parchment","codex","501","700"
"284","MONB.AX","108728","108728","papyrus","codex","301","400"
"287","MONB.BA","108394","108394","parchment","codex","601","800"
"288","MONB.BB","108395","108395","parchment","codex","601","800"
"289","MONB.BC","108128","108128","parchment","codex","501","600"
"292","MONB.BF ","108126","108126","parchment","codex","601","800"
"356","MONB.EC","null","null","parchment","codex","601","800"
"424","MONB.HE","107887","107887","parchment","codex","401","600"
"627","MONB.YA","108371","108371","parchment","codex","601","800"
"660","MONB.ZY","108141","108141","parchment","codex","501","600"
"662","NHAM.01","107741","107741","papyrus","codex","301","400"
"663","NHAM.02","107742","107742","papyrus","codex","301","400"
"664","NHAM.03","107743","107743","papyrus","codex","301","400"
"665","NHAM.04","107744","107744","papyrus","codex","301","400"
"666","NHAM.05","107745","107745","papyrus","codex","301","400"
"667","NHAM.06","107746","107746","papyrus","codex","301","400"
"668","NHAM.07","107747","107747","papyrus","codex","351","400"
"669","NHAM.08","107748","107748","papyrus","codex","301","400"
"670","NHAM.09","107749","107749","papyrus","codex","301","400"
"671","NHAM.10","107750","107750","papyrus","codex","301","400"
"672","NHAM.11","107751","107751","papyrus","codex","351","400"
"673","NHAM.12","107752","107752","papyrus","codex","301","400"
"674","NHAM.13","107753","107753","papyrus","codex","301","400"
"686","MONB.MW","107764","107764","papyrus","codex","301","400"
"704","CMCL.AR","108321","108321","papyrus","codex","501","700"
"713","null","113913","113913","papyrus","codex","676","800"
"714","null","111689","111689","papyrus","codex","676","800"
"716","null","107877","107877","papyrus","codex","401","600"
"718","null","108080","108080","papyrus","codex","601","700"
"719","null","108404","108404","parchment","codex","401","500"
"721","null","107738","107738","papyrus","codex","301","500"
"722","null","108298","108298","papyrus","codex","501","700"
"723","null","108299","108299","papyrus","codex","601","700"
"727","null","107736","107736","parchment","codex","501","600"
"728","null","108230","108230","papyrus","codex","501","700"
"731","null","107765","107765","papyrus","codex","401","500"
"732","null","107964","107964","parchment","codex","401","500"
"735","null","108325","108325","parchment","codex","501","700"
"737","null","108232","108232","papyrus","codex","601","800"
"739","null","108250","108250","parchment","codex","475","524"
"740","null","126162","126162","parchment","codex","501","700"
"741","null","220470","220470","parchment","codex","501","700"
"747","null","108131","108131","papyrus","horizontal roll","601","700"
"748","null","108132","108132","papyrus","horizontal roll","601","700"
"749","null","61614","2763","papyrus","codex","301","400"
"750","null","107784","107784","papyrus","single leaf","351","400"
"754","null","107957","107957","parchment","codex","401","600"
"758","null","108007","108007","papyrus","codex","601","700"
"770","null","108756","108756","papyrus","horizontal roll","526","575"
"787","null","108053","108053","parchment","codex","501","600"
"819","null","108311","108311","papyrus","codex","501","800"
"820","null","108059","108059","papyrus","codex","601","800"
"821","null","108061","108061","papyrus","codex","601","800"
"823","null","108062","108062","papyrus","codex","601","800"
"826","null","108063","108063","papyrus","codex","601","800"
"830","null","108060","108060","papyrus","codex","651","800"
"839","null","107983","107983","parchment","codex","451","500"
"841","null","107982","107982","papyrus","horizontal roll","401","500"
"858","null","61982","3141","papyrus","horizontal roll","175","250"
"868","null","107970","107970","parchment","codex","301","400"
"869","null","108317","108317","papyrus","horizontal roll","596","596"
"870","null","697442","697442","parchment","codex","501","600"
"873","null","108158","108158","papyrus","codex","701","800"
"881","null","108053","108053","papyrus","codex","651","750"
"882","null","108592","108592","papyrus","codex","651","750"
"903","null","108587","108587","papyrus","codex","651","750"
"905","null","108588","108588","papyrus","codex","651","750"
"906","null","108589","108589","papyrus","codex","651","750"
"907","null","108590","108590","papyrus","codex","651","750"
"908","null","108560","108560","papyrus","codex","651","750"
"909","null","108591","108591","papyrus","codex","651","750"
"910","null","108401","108401","papyrus","codex","651","750"
"922","null","112555","112555","terracotta","ostrakon","501","700"
"923","null","112574","112574","terracotta","ostrakon","501","700"
"924","null","112422","112422","papyrus","codex","501","550"
"925","null","112573","112573","papyrus","codex","501","700"
"926","null","112570","112570","stone","ostrakon","501","700"
"927","null","112556","112556","stone","ostrakon","508","650"
"928","null","112563","112563","stone","ostrakon","501","700"
"929","null","112576","112576","stone","ostrakon","501","700"
"930","null","112572","112572","stone","ostrakon","501","700"
"931","null","112419","112419","stone","ostrakon","601","800"
"932","null","108512","108512","parchment","codex","601","800"
"933","null","62215","3375","papyrus","codex","501","700"
"934","null","108528","108528","papyrus","codex","601","800"
"936","null","112550","112550","stone","ostrakon","501","700"
"937","null","112579","112579","terracotta","ostrakon","501","700"
"938","null","112418","112418","stone","ostrakon","601","800"
"939","null","61839","2993","papyrus","codex","301","400"
"982","null","107828","107828","parchment","codex","301","425"
"992","null","61276","2418","wood","polyptych","276","300"
"997","null","700769","700769","papyrus","codex","601","750"
"998","null","700767","700767","papyrus","codex","601","750"
"999","null","700765","700765","papyrus","codex","601","750"
"1000","null","700768","700768","papyrus","codex","601","750"
"1003","null","107890","107890","papyrus","codex","301","400"
"1004","null","107963","107963","papyrus","horizontal roll","301","400"
"1005","null","107966","107966","papyrus","codex","301","400"
"1006","null","108610","108610","papyrus","codex","301","400"
"1007","null","107882","107882","papyrus","codex","301","400"
"1008","null","108360","108360","papyrus","codex","501","600"
"1009","null","108188","108188","parchment","codex","401","500"
"1011","null","108436","108436","papyrus","codex","501","600"
"1020","null","61656","2806","papyrus","codex","451","500"
"1022","null","108402","108402","papyrus","codex","375","425"
"1028","null","107972","107972","papyrus","horizontal roll","413","500"
"1056","null","113547","113547","papyrus","codex","501","700"
"1120","null","219761","null","terracotta","ostrakon","701","750"
"1121","null","172223","172223","stone","ostrakon","501","900"
"1122","null","641969","641696","papyrus","codex","501","900"
"1125","null","107731","107731","parchment","codex","375","450"
"1126","null","108027","108027","parchment","codex","401","550"
"1127","null","108688","108688","parchment","codex","401","600"
"1130","null","112551","112551","terracotta","ostrakon","578","700"
"1131","GIOV.AS","107915","107915","parchment","codex","401","600"
"1132","null","108562","108562","parchment","codex","501","600"
"1133","null","108563","108563","parchment","codex","401","600"
"1134","null","112560","112560","stone","ostrakon","501","700"
"1135","null","112553","112553","stone","ostrakon","578","700"
"1136","null","112554","112554","stone","ostrakon","501","700"
"1137","null","112552","112552","terracotta","ostrakon","578","700"
"1138","null","112557","112557","terracotta","ostrakon","550","650"
"1139","null","112568","112568","stone","ostrakon","501","700"
"1140","null","112562","112562","terracotta","ostrakon","501","700"
"1141","null","112542","112542","terracotta","ostrakon","501","700"
"1142","null","112549","112549","terracotta","ostrakon","501","700"
"1143","null","112558","112558","terracotta","ostrakon","501","700"
"1144","null","112559","112559","stone","ostrakon","501","700"
"1145","null","112571","112571","terracotta","ostrakon","501","700"
"1146","null","112577","112577","terracotta","ostrakon","501","700"
"1147","null","112566","112566","terracotta","ostrakon","501","700"
"1148","null","112421","112421","terracotta","ostrakon","501","700"
"1153","null","65174","6416","papyrus","codex","601","650"
"1157","null","107888","107888","papyrus","horizontal roll","301","400"
"1158","null","382619","382619","parchment","codex","401","600"
"1160","null","108078","108078","papyrus","codex","501","600"
"1166","null","61817","2971","parchment","codex","401","600"
"1170","null","290110","290110","papyrus","single leaf","401","600"
"1172","null","702540","702540","stone","ostrakon","501","900"
"1178","null","107965","107965","papyrus","codex","301","400"
"1185","null","754108","754108","parchment","codex","501","600"
"1186","null","113254","113254","parchment","codex","401","500"
"1187","null","113253","113253","parchment","codex","401","500"
"1188","null","113257","113257","parchment","codex","451","500"
"1189","null","113252","113252","parchment","codex","401","500"
"1191","null","113256","113256","papyrus","codex","601","800"
"1207","null","112578","112578","terracotta","ostrakon","501","700"
"1219","null","107733","107733","papyrus","codex","301","350"
"1220","null","null","null","papyrus","codex","601","800"
"1221","null","null","null","parchment","codex","401","450"
"1222","null","107772","107772","parchment","codex","401","600"
"1223","null","null","null","papyrus","codex","301","400"
"1235","","108314","108314","stone","ostrakon","601","700"
"1371","null","107763","107763","papyrus","codex","301","400"
"1417","null","108694","108694","parchment","codex","601","800"
"1579","null","108499","108499","terracotta","ostrakon","601","800"
"1580","null","108513","108513","terracotta","ostrakon","601","800"
"1581","null","62216","3376","stone","ostrakon","501","700"
"1582","null","112546","112546","papyrus","codex","601","700"
"1583","null","108514","108514","terracotta","ostrakon","601","800"
"1584","null","108515","108515","stone","ostrakon","601","800"
"1585","null","108516","108516","terracotta","ostrakon","601","800"
"1586","null","108517","108517","terracotta","ostrakon","601","800"
"1587","null","108518","108518","terracotta","ostrakon","576","800"
"1588","null","108519","108519","terracotta","ostrakon","601","800"
"1589","null","108520","108520","terracotta","ostrakon","601","700"
"1590","null","108521","108521","stone","ostrakon","601","700"
"1591","null","108522","108522","stone","ostrakon","601","800"
"1592","null","108523","108523","terracotta","ostrakon","601","800"
"1593","null","108524","108524","terracotta","ostrakon","601","800"
"1594","null","108526","108526","terracotta","ostrakon","601","800"
"1595","null","108527","108527","terracotta","ostrakon","601","800"
"1596","null","108529","108529","terracotta","ostrakon","601","800"
"1597","null","112417","112417","terracotta","ostrakon","601","800"
"1598","null","112531","112531","terracotta","ostrakon","401","600"
"1599","null","112533","112533","stone","ostrakon","601","800"
"1600","null","112534","112534","terracotta","ostrakon","501","700"
"1601","null","112535","112535","terracotta","ostrakon","501","700"
"1602","null","112537","112537","terracotta","ostrakon","501","700"
"1603","null","112536","112536","terracotta","ostrakon","501","700"
"1604","null","112538","112538","stone","ostrakon","501","700"
"1611","null","112539","12539","terracotta","ostrakon","501","700"
"1612","null","112540","112540","terracotta","ostrakon","501","700"
"1613","null","112541","112541","terracotta","ostrakon","501","700"
"1614","null","112543","112543","terracotta","ostrakon","501","700"
