"Monastery site and location","Latitude N","Longitude E","DD- N","DD- E"
"Abu Abulli  Apollo at Bawit South Cairo","27° 35' 22","30°40' 33.00","27.589.444","30.675.833"
"Deir al Adrah Holy Virgin 6kms East Akhmim","26° 36' 25.05","31° 47' 24.46","26.606.958","31.790.128"
"Deir al Abyad St Shenute/Shenouda Sohag white monastery","26° 32' 05.14","31° 38' 44.50","26.534.761","31.645.694"
"Deir Adhra Holy virgin Beni suef Bayaa al-nasara E.bank","29° 04' 04","31° 07' 46.00","29.067.778","31.129.444"
"Deir al Adhra","30° 21' 27.99","30° 16' 06.99","303.577.778","302.686.111"
"Deir al Adhra Maryam Holy Virgin Bani Rizah","26° 55' 38.41","31° 16' 59.18","26.927.336","31.283.106"
"El Agaybi - Hiw - Qena","26° 0' 00.00","32° 16' 00.00","26","322.666.667"
"Deir al Aja'ibi - Nag Hammadi - Quena","26° 0' 0.00","32° 16' 00.00","26","322.666.667"
"Deir Ahmar St Bishoi Red Monastery Sohag","26° 33' 17.75","31° 37' 10.87","26.554.931","31.619.686"
"Al Azab Fayum - Abraam","29° 15' 48.42 ","30° 51' 09.12","2.926.345","30.852.533"
"Al Bagawat Kharga oasis church and christian site","25° 29' 09.33","30° 33' 17.45","25.485.925","30.554.847"
"Deir al Anba Bakhum -Pachomius  Luxor","25° 41' 46.63","32° 42' 19.92","25.696.286","32.705.533"
"Deir al Anba Bakhum -Pachomius  Edfu","24° 58' 25.50","32° 50' 30.37","2.497.375","32.841.769"
"Deir al Anba Bakhum -Pachomius  Akhmim","","","",""
"Deir al-Bahri Northern monastery Luxor west bank","26° 36' 59.99","32° 36' 19.90","26.616.664","32.605.528"
"Deir al Bahri - Salamumi - Akhmim","26° 44' 16.36","31° 46' 59.99","266.166.667","317.833.333"
"Anba Barsoum El Massara Cairo south","29° 54' 09.98","31° 17' 38.22","29.902.772","3.129.395"
"Deir Anba Bisantiyus - Naqada","25° 49' 59.99","32° 42' 00.00","258.333.333","32.7"
"Deir Anba Bishwi - Bir Hooker North Cairo","30° 19' 13.99","30° 21' 31.00","303.205.556","303.586.111"
"Deir Apa Pisada - Bisada East Akhmim East bank","26° 27' 47.66","31° 49' 02.38","26.463.239","31.817.328"
"Al Ballas - Baramah? Qift left bank","26° 01' 00.03 ","32° 44' 37.72 ","26.016.675","32.743.811"
"Deir Baramus - Wadi Natrun","30° 21' 26.67","30° 16' 12.72","303.569.444","302.763.889"
"Dayr al Barshah Al Nakhlah","27° 44' 53.23","30° 54' 23.98","27.748.119","30.906.661"
"Anba Balamun St Palemon Qasr al-sayyad","26° 03' 50.77","32° 18' 27.74","26.064.103","32.307.706"
"Anba Bidaba Nag hammadi","26° 02' 03.33","32° 13' 12.64","26.034.258","32.220.178"
"Deir al Anba Bishuy - Sadat city","30° 19' 13.99","30° 21' 31.00","303.205.556","303.586.111"
"Deir Amba Bishoi - Sadat city","30° 19' 13.99","30° 21' 31.00","303.205.556","303.586.111"
"Deir Bisrah - Asyut","27° 9' 59.99","31° 16' 00.00","271.666.667","312.666.667"
"Deir Mari Bolos - Eastern desert - Zafarana","28° 51' 0.00","32° 32' 59.99","28.85","32.55"
"Anba Bula - St Paul the Theban Minya","28° 50' 50.21","32° 33' 02.07","28.847.281","32.550.575"
"Deir Mari Buqtor - Qibil","25° 48' 55.66","32° 42' 19.61","25.815.461","32.705.447"
"Deir Mari Buqtor - Qibil","25° 51' 0.00","32° 49' 59.99","25.85","328.333.333"
"Abu Buqtor St Victor Asyut al Gabrawi","27° 19' 43.00","31° 06' 13.37","27.328.611","31.103.714"
"Deir al-Dik opposite island of sheba - between Minya and Asyut","27° 51' 45.00","30° 50' 41.00","278.625","30.844.722"
"El sitt Dimyanna - Sohag","26° 11' 07.52","31° 54' 35.52","261.916.667","319.041.667"
"El sit Demyanah Bilqas","31° 17' 42.16","31° 23' 22.73","31.295.044","31.389.647"
"Deir Durankah - Asyut","27° 6' 38.99","31° 10' 05.00","271.108.333","311.680.556"
"Epiphanius St Luxor Medinet habu","25° 43' 57.00","32° 36' 25.00","257.325","32.606.944"
"Al Fakhouri Mathew the Potter Nag al Zinaiqa west bank","25° 22' 12.22 ","32° 28' 50.31 ","25.370.061","32.480.642"
"Deir Abu Fana -Beni Khaled Minya monastery of the cross also Abu bane","27° 50' 42","30° 41' 52.20","278.472.222","307.055.556"
"Deir el Garnus - Abu Bisht - Maghagha","28° 36' 35.99","30° 42' 14.00","28.61","307.038.889"
"Deir al Malak Ghabriyal - Qalamishah - Lahun","29° 11' 40.99","30° 52' 32.99","291.947.222","308.758.333"
"Al Ghanayim Asyut area West bank","26° 52' 06.10 ","31° 19' 47.02 ","26.868.361","31.329.728"
"Abu girg Alexandria","30° 53' 59.0","29° 56' 59.00","30.899.722","29.949.722"
"Al Hadid Izbat Deir al Hadid","28° 49' 15.00 ","30° 55' 19.00","28.820.833","30.921.944"
"Deir al Anba Harmina - Asyut - Sohag","26° 54' 44.08","31° 30' 20.02","26.912.244","31.505.561"
"Deir al Anba Hur - Minya","28° 4' 59.99","30° 48' 00.00","280.833.333","30.8"
"Deir el Haggar al-Hajar Daklah oasis ","25° 39' 53.21","28° 48' 47.69","25.664.781","28.813.247"
"Deir al Hamam - Lahun - Fayoum (Father Isaac)","29° 14' 34.99","30° 54 03.00","292.430.556","309.952.778"
"El Amba Harmina - Badari - Tima","26° 54' 59.99","31° 30' 00.00","269.166.667","31.5"
"Qubbat al Hawa -St George of St Laurentius Aswan","24° 06' 09.78","32° 53' 25.14","24.102.717","32.890.317"
"Deir Anbu Hinnis Antinoe St John the short","27° 47' 14.73","30° 54' 05.65","27.787.425","30.901.569"
"Amba Hor Zawiyat al Amwat Minya","28 04' 40.29","30 47' 51.68","28.077.858","30.797.689"
