"toponimo","paths_place","descrizione","culto_contemporaneo","note_culto_contemporaneo","note_fasi_precedenti","data_fondazione_chiesa_attuale","data_ristrutturazione_chiesa_attuale","oggetti_collegati_alla_sf","meta_di_pellegrinaggio","meta_pellegrinaggio_sf","note_pellegrinaggio","luogo_abitato","lat","lng"
"Tell al-Farama","36","","0","Rovine dell'antica Collina delle Chiese","","","","Presenza di un alto numero di rovine riferibili a edifici di culto databili tra V-VII secolo, che danno i nome di Collina delle Chiese al luogo","0","0","","0",31.049917,32.600128
"Tell Basta (Bubastis)","15","","0","","Presenza delle rovine di una Chiesa risalente al IV secolo d.C., oltre alla presenza delle rovine di un tempio databile al primo I secolo d.C.","","","Pozzo","0","0","","0",30.570503,31.514865
"Musturud","","","1","Chiesa con all'interno una caverna con un pozzo all'interno con acqua di sorgente che ha effetti benefici. Primo bagno di Gesù.","I cristiani copti pensano che ci fossero delle chiese antecedenti quella costruita da Papa Marco III.","1185","1961","Pozzo, caverna, icone","0","1","","1",30.148333,31.298611
"Bilbays","","","1","Chiesa risalente al 1932 e divisa in due sezioni distinte.","I cristiani copti pensano che la Chiesa attuale sia stata eretta su un edificio più antico databile al IV secolo d.C.","1932","","Albero secolare dedicato alla Vergine Maria abbattuto dalle truppe di Napoleone e Chiesa attuale","0","1","","1",30.415782,31.56225
"Daqadus","","","1","Chiesa dedicata alla Vergine Maria risalente al 1888","Era presente una Chiesa del 1239 d.C. andata distrutta da una alluvione.","1888","","Pozzo, antica biblioteca di preziosi manoscritti","0","1","Città considerata benedetta","1",30.725694,31.262389
"Sammanud","","","1","Ogni 31 luglio c'è una commemorazione di Apa Anub, martire del III secolo d.C.","","","","Ciotola di granito utilizzata dalla Vergine Maria per impastare il pane e un pozzo dalle proprietà benefiche.","1","0","I miracoli attribuibili ad Apa Anub spingono i credenti a visitare il posto per lui piuttosto che per la Sacra famiglia.","1",30.962111,31.242028
"Dimyana","","","1","Prende il nome dalla martire della Santa Dimyana morta a causa delle persecuzioni nell'atto di adorare il passaggio della Sacra famiglia","L'edificio culto sorge esattamente nel luogo di passaggio della Sacra Famiglia","1978","2014","Presenti numerosi mosaici e sono in vendita numerose icone sacre","1","1","Luogo sia artistico che religioso anche se secondo manoscritti medievali Dimyana non è menzionata tra le città visitate dalla Sacra famiglia","1",31.294742,31.389175
"Sakha","","","1","Nelle vicinanze del monastero è presente un albero ritenuto simile a quello utilizzato per creare una corona di spine per Gesù durante i giorni della Passione. Inoltre si crede che Gesù abbia creato una fonte d'acqua.","Antico monastero la cui posizione non è ancora nota.","","1984","Nel 1984 è stata rinvenuta una reliquia contenente l'impronta del piede di Gesù.","0","1","I pellegrini vanno ad adorare la reliquia dell'impronta di Gesù.","1",31.08971,30.94439
"Wadi al-Natrum","110","","1","Sono presenti nell'area quattro monasteri principali","Zona ricca di rovine, monasteri e grotte dove hanno vissuto i primi eremeti.","","","Pozzo","0","1","I pellegrini vanno a vedere il pozzo di Bir Maria recentemente restaurato","1",30.476111,30.291389
"Nikiou","45","","0","","Non sono state ancora rinvenute","","","tradizioni orali","0","0","Tappa di durata pari a sette giorni dove Gesù curò un uomo posseduto anche se non è una fonte ufficiale.","0",30.851018,30.411529
