"clm","cmclid","tm","ldab","writingsupport","bookform","chronofrom","chronoto","fullname","shelfmark","pp"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B0690","(026-027%)"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04038",""
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04151",""
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04167",""
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04220",""
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328A","(026-027%)"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328B","(038-039%)"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328C",""
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328D","(038-039%)"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328E","(038-039%)"
"14","CMCL.AN","108165","108165","papyrus","codex","701","800","Austria, Wien, Österreichische Nationalbibliothek - Papyrussammlung, K","04328F","(038-039%)"
"15","CMCL.AO","108159","108159","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B0272(1)",""
"15","CMCL.AO","108159","108159","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B0379-0382",""
"15","CMCL.AO","108159","108159","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B0384-0399",""
"15","CMCL.AO","108159","108159","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B0636",""
"15","CMCL.AO","108159","108159","papyrus","codex","701","800","Russian Federation, Moscow, Puškin Museum ","I.1.B1020",""
"16","CMCL.AP","61979","3138","papyrus","codex","276","350","Germany, Hamburg, Carl von Ossietzky Universitätsbibliothek","Pap.Bil. 1",""
"18","CMCL.AS","108136","108136","papyrus","codex","350","450","United Kingdom, Oxford, Bodleian Library, Bruce","96",""
"23","CMCL.AZ","107785","107785","papyrus","codex","601","700","Switzerland, Cologny-Genève, Fondation Martin Bodmer","58.B","(005-136)"
"23","CMCL.AZ","107785","107785","papyrus","codex","601","700","Switzerland, Cologny-Genève, Fondation Martin Bodmer","58.E","(137-138)"
"24","CMCL.BA","107968","107968","papyrus","codex","401","500","Germany, Berlin, Staatsbibliothek zu Berlin - Preußischer Kulturbesitz, Ms. or. oct.","987","null"
"25","CMCL.BB","107969","107969","papyrus","codex","301","400","Egypt, Cairo, IFAO, Copte","413-433",""
"26","CMCL.BC","107864","107864","parchment","codex","376","425","Germany, Berlin, Staatliche Museen, P.","3259","ff. 1-98"
"32","CMCL.BI","108860","108860","papyrus","codex","301","400","The Netherlands, Utrecht, Universiteitsbibliotheek, B","3.11","(013-014)"
"32","CMCL.BI","108860","108860","papyrus","codex","301","400","The Netherlands, Utrecht, Universiteitsbibliotheek, B","4.12","(015-016)"
"32","CMCL.BI","108860","108860","papyrus","codex","301","400","The Netherlands, Utrecht, Universiteitsbibliotheek, B","4.13.1","(009-010)"
