"id","name","tm","pleiades","region"
1,"Memphis",1344,736963,
2,"Letopolis",1245,727149,"Lower Egypt (Delta)"
3,"Sais",2072,727217,"Lower Egypt (Delta)"
4,"Xois",2507,727256,"Lower Egypt (Delta)"
5,"Hermopolis Mikra",817,727123,"Lower Egypt (Delta)"
6,"Heroonpolis",2297,727124,
7,"Bousiris",469,727090,"Lower Egypt (Delta)"
8,"Athribis",369,727078,"Lower Egypt (Delta)"
9,"Leontopolis (Tell el-Moqdam)",1238,727147,"Lower Egypt (Delta)"
10,"Sebennytos",2104,727227,"Lower Egypt (Delta)"
11,"Heliopolis",761,727117,
12,"Tanis",2252,727236,
13,"Hermopolis",815,727122,
14,"Tell el-Balamun",575,727111,"Lower Egypt (Delta)"
15,"Bubastis",462,727088,"Lower Egypt (Delta)"
16,"Elephantine",621,786021,
18,"Hierakonpolis",848,786037,
19,"Luxor complex",576,786017,"Eastern Thebes"
20,"Koptos",1159,786010,
21,"Dendera",2312,786127,
22,"Diospolis Mikra",577,756566,
23,"Abydos",34,756512,
24,"Panopolis",1589,756613,"Northern Upper Egypt"
25,"Antaiopolis",188,756515,
26,"Hypsele",864,756578,
27,"Lykopolis",1271,756593,
28,"Hermopolis Magna",816,756574,
29,"Kynopolis",1196,736949,
30,"Ankyropolis",182,736888,
31,"Oxyrhynchos",1524,736983,
32,"Herakleopolis Magna",801,736920,
33,"Arsinoe",327,736948,"Fayyum"
34,"Aphroditopolis",236,736889,
35,"Thmouis",2405,727249,"Lower Egypt (Delta)"
36,"Pelusium",1662,727192,
37,"Taya",3075,727243,"Lower Egypt (Delta)"
38,"Alexandria",100,727070,
39,"Metelis",2640,727163,"Lower Egypt (Delta)"
40,"Buto","3685, 10704, 10767",727094,"Lower Egypt (Delta)"
41,"Herakleopolis Mikra",800,727121,
42,"Kynopolis Inferior",5392,727144,
43,"Pharbaithos",1751,727196,
44,"Phakoussa",1729,727194,
45,"Nikiou",1463,727174,"Lower Egypt (Delta)"
46,"Phragonis",7961,727201,"Lower Egypt (Delta)"
47,"Kabasa",2636,727133,"Lower Egypt (Delta)"
48,"Panephysis",6258,727184,
49,"Andronpolis","3108, 8505",727071,"Lower Egypt (Delta)"
50,"Onouphis Kato",3093,730134,"Lower Egypt (Delta)"
51,"Onouphis Ano",3093,730134,"Lower Egypt (Delta)"
52,"Schedia",2096,727221,
53,"Antinoupolis",2774,756518,"Middle Egypt"
54,"Ptolemais",2018,373879,
55,"Apollonopolis Parva",270,785975,
